id_sku,categoria_n1,categoria_n2,marca,preco_lista
1,Automotivo,Manutenção,Atlas,813.85
2,Beleza,Cabelos,Aurum,40.75
3,Moda,Camisetas,Atlas,549.2
4,Eletrônicos,Áudio,Zenon,466.95
5,Moda,Calçados,Giga,53.55
6,Eletrônicos,TVs,Zenon,920.54
7,Eletrônicos,Áudio,Rino,409.41
8,Eletrônicos,Áudio,Omega,1774.41
9,Casa & Cozinha,Organização,Atlas,179.52
10,Automotivo,Acessórios,Atlas,436.86
11,Automotivo,Acessórios,Nexa,644.74
12,Eletrônicos,Celulares,Vega,1686.26
13,Casa & Cozinha,Decoração,Atlas,236.49
14,Casa & Cozinha,Organização,HyperX,97.91
15,Eletrônicos,TVs,Vega,1318.66
16,Beleza,Perfumes,Atlas,298.42
17,Automotivo,Acessórios,Delta,819.32
18,Esporte,Academia,Nexa,577.43
19,Brinquedos,Quebra-cabeça,Omega,301.36
20,Brinquedos,Blocos,Nova,296.61
21,Moda,Camisetas,Aurum,184.36
22,Papelaria,Arte,Omega,108.95
23,Eletrônicos,Áudio,HyperX,1287.63
24,Beleza,Cabelos,Pixel,230.69
25,Automotivo,Manutenção,Zenon,621.97
26,Casa & Cozinha,Eletroportáteis,Atlas,625.84
27,Beleza,Skincare,Nexa,211.81
28,Casa & Cozinha,Organização,HyperX,217.81
29,Automotivo,Acessórios,Rino,723.31
30,Eletrônicos,Acessórios,Rino,2303.14
31,Eletrônicos,Notebooks,Nexa,281.79
32,Brinquedos,Blocos,Atlas,124.01
33,Eletrônicos,Celulares,Nova,2212.69
34,Pet,Higiene,Nova,83.22
35,Esporte,Corrida,Atlas,760.93
36,Pet,Higiene,Zenon,55.14
37,Brinquedos,Blocos,Nova,98.96
38,Papelaria,Organização,HyperX,123.99
39,Beleza,Skincare,Delta,348.35
40,Pet,Higiene,Omega,60.6
41,Moda,Jeans,Rino,434.07
42,Automotivo,Manutenção,Vega,197.3
43,Pet,Brinquedos,Delta,227.67
44,Papelaria,Cadernos,Zenon,56.23
45,Pet,Brinquedos,Nexa,112.6
46,Automotivo,Manutenção,Atlas,502.8
47,Moda,Acessórios,Nova,510.84
48,Moda,Jeans,Pixel,217.65
49,Eletrônicos,TVs,Giga,2503.78
50,Beleza,Maquiagem,Rino,316.06
51,Papelaria,Arte,Rino,24.55
52,Pet,Ração,Acme,226.31
53,Moda,Camisetas,Vega,569.63
54,Pet,Higiene,Zenon,91.63
55,Automotivo,Manutenção,Giga,321.89
